2201	王一	301	2203101	701
2202	李二	302	2203101	701
2203	张三	303	2203101	701
2204	刘四	304	2203101	702
2205	陈五	305	2203102	702
2206	杨六	306	2203102	703
2207	黄七	301	2203102	703
2208	赵八	302	2203102	703
2209	吴九	303	2203103	703
2210	周十	304	2203103	1901
2211	徐十一	305	2203103	1901
2212	孙十二	306	2203103	1902
2213	马十三	301	2203601	1901
2214	朱十四	302	2203601	1902
2215	胡十五	303	2203601	901
2216	郭十六	304	2203601	901
2217	何十七	305	2203602	901
2218	林十八	306	2203602	902
2219	罗十九	301	2203602	902
2220	高二十	302	2203602	902
